Where do you work?,How old are you?,"From 1-10, how happy are you working at SEBS CAFE?"
Las Vegas,36,3
Santa Fe,28,3
Baton Rouge,25,5
Charlotte,30,6
Baton Rouge,41,5
Annapolis,39,2
Baton Rouge,31,3
Helena,41,2
Oklahoma City,29,3
Jefferson City,24,2
Concord,33,3
Phoenix,34,3
Charleston,37,4
Jefferson City,39,2
Philadelphia,34,6
Santa Fe,38,6
Augusta,37,2
Santa Fe,29,5
Oklahoma City,39,3
Providence,33,2
Augusta,30,3
Phoenix,28,2
Phoenix,38,3
Cheyenne,45,3
Boston,26,3
Philadelphia,47,5
Jefferson City,32,2
Annapolis,33,2
Saint Paul,35,2
Charlotte,25,6
Charleston,31,5
Baton Rouge,40,4
Augusta,41,2
Atlanta,35,4
Jefferson City,27,2
Cleveland,39,4
	Fargo,37,3
Oklahoma City,34,4
Lincoln,31,2
Cleveland,35,4
Santa Fe,27,7
Augusta,26,3
Concord,40,4
Trenton,34,5
Nashville,41,3
Baton Rouge,44,5
Trenton,36,4
Seattle,33,4
Helena,32,3
	Fargo,31,5
Annapolis,35,3
Virginia Beach,30,4
Miami,26,6
Houston,26,3
Lincoln,44,3
Augusta,30,3
Annapolis,29,2
Nashville,38,3
Trenton,31,4
Atlanta,39,4
Milwaukee,29,4
Philadelphia,32,3
Phoenix,40,5
Lansing,30,3
Santa Fe,28,6
Lansing,23,3
Concord,37,4
Trenton,43,3
Saint Paul,39,2
Saint Paul,30,4
Atlanta,24,5
Annapolis,29,2
Des Moines,34,6
Burlington,38,4
Lansing,50,3
Nashville,45,3
Helena,34,2
Boston,38,3
Des Moines,33,5
Jackson,40,2
Lansing,28,5
Cleveland,36,3
Annapolis,36,4
New York,34,3
New York,30,3
Las Vegas,29,4
Oklahoma City,37,3
Cleveland,27,3
Los Angeles,38,4
Los Angeles,27,3
Concord,47,4
Oklahoma City,38,5
Baton Rouge,32,3
Lincoln,37,4
Phoenix,34,4
Lincoln,31,2
Milwaukee,28,4
New York,38,5
Topeka,33,3
Augusta,25,4
Indianapolis,40,4
Jackson,33,3
Santa Fe,38,6
Burlington,31,2
Trenton,32,4
Santa Fe,35,7
Jefferson City,31,3
Des Moines,24,5
Jackson,37,3
Saint Paul,29,3
Jefferson City,40,2
New York,41,4
Helena,37,2
Saint Paul,34,5
Atlanta,33,4
Saint Paul,38,2
Los Angeles,38,2
Las Vegas,36,3
Houston,40,2
Salt Lake City,33,4
New York,40,5
Augusta,38,4
Baton Rouge,39,3
Honolulu,32,2
Frankfort,31,4
Jefferson City,30,2
Charlotte,45,4
Frankfort,42,4
Atlanta,40,4
Indianapolis,40,3
Indianapolis,33,4
Concord,27,5
Philadelphia,31,5
Lansing,26,3
Annapolis,28,2
Jefferson City,39,3
Springfield,34,6
Montgomery,30,5
Trenton,32,5
Baton Rouge,35,3
Phoenix,43,3
Las Vegas,35,4
Saint Paul,32,3
Topeka,45,4
Annapolis,38,3
Philadelphia,25,6
Lansing,36,2
Phoenix,30,2
Oklahoma City,35,3
Helena,42,2
New York,31,2
	Fargo,40,4
Annapolis,45,2
Jefferson City,29,2
Helena,40,2
Boston,42,2
Oklahoma City,35,3
Lincoln,49,3
Lansing,33,2
Seattle,36,4
Boise,40,4
Jefferson City,22,2
Trenton,27,5
Helena,31,3
Lincoln,35,3
New York,29,3
Oklahoma City,42,4
Helena,30,3
Indianapolis,39,3
Las Vegas,47,3
Los Angeles,37,2
Jefferson City,37,3
Phoenix,36,3
Trenton,29,3
New York,34,3
Topeka,35,3
Trenton,21,4
New York,37,3
Phoenix,33,4
Saint Paul,33,3
Santa Fe,45,7
Portland,34,4
Honolulu,31,3
Jefferson City,35,3
Baton Rouge,32,5
Phoenix,37,3
Jefferson City,31,3
Cleveland,34,5
Helena,34,2
	Fargo,38,4
Helena,38,3
Lincoln,29,4
Cleveland,31,3
Lansing,33,4
Lincoln,49,3
Boston,38,2
Saint Paul,34,2
	Fargo,43,4
Annapolis,32,2
Santa Fe,31,4
Jackson,39,2
Trenton,28,2
Denver,33,4
Jackson,31,3
Saint Paul,37,3
Phoenix,39,4
Charlotte,32,5
Jefferson City,26,2
Cleveland,34,3
Des Moines,30,5
Philadelphia,42,5
Sioux Falls,35,4
Honolulu,32,2
Baton Rouge,31,4
Boston,40,2
	Fargo,42,3
Saint Paul,41,3
	Fargo,35,5
Seattle,43,3
Baton Rouge,39,6
New York,28,3
Saint Paul,30,2
Los Angeles,32,3
Trenton,40,4
Jefferson City,42,2
Helena,20,2
Seattle,32,3
Las Vegas,30,3
Lansing,32,3
Charleston,44,4
Helena,41,2
Annapolis,33,4
Boise,38,5
Cleveland,32,5
Lincoln,32,4
Salt Lake City,29,3
Annapolis,29,2
Des Moines,37,5
Sioux Falls,47,4
	Fargo,47,6
Saint Paul,30,3
Jefferson City,24,2
Santa Fe,34,5
Lincoln,23,4
Trenton,38,4
Phoenix,25,3
Las Vegas,38,5
Los Angeles,45,4
Nashville,41,5
Montgomery,29,3
Trenton,40,5
Lincoln,27,3
Las Vegas,37,2
Charlotte,32,6
Seattle,29,3
Las Vegas,40,3
Jefferson City,31,3
	Fargo,21,4
Charleston,41,5
Augusta,29,6
Santa Fe,32,5
Jackson,36,3
Charleston,30,2
Jefferson City,39,3
Burlington,35,3
Seattle,24,3
Santa Fe,44,7
Trenton,29,4
Des Moines,20,5
Trenton,41,4
Providence,28,2
Indianapolis,28,3
Philadelphia,42,6
Los Angeles,27,2
Miami,32,4
Augusta,33,4
Jackson,36,2
	Fargo,25,4
Augusta,46,2
Saint Paul,38,2
Charlotte,35,3
Los Angeles,36,2
Jackson,42,3
Las Vegas,29,3
Charleston,41,5
Helena,29,2
Helena,40,3
Lansing,45,3
Phoenix,31,5
Seattle,31,5
Annapolis,42,2
Frankfort,46,3
Honolulu,31,2
Des Moines,34,4
Trenton,39,3
Oklahoma City,24,4
Los Angeles,35,2
Helena,33,2
Hartford,34,5
Providence,34,4
Saint Paul,31,4
Philadelphia,22,3
Oklahoma City,32,3
Phoenix,40,4
Helena,34,2
Portland,39,3
Jackson,34,2
Trenton,30,3
Lansing,34,2
Lincoln,39,4
New York,21,5
Saint Paul,41,2
Concord,31,4
Saint Paul,35,3
Oklahoma City,37,5
Oklahoma City,31,3
	Fargo,39,4
Des Moines,37,6
Lansing,36,2
Boston,44,2
Honolulu,24,3
Virginia Beach,23,3
Los Angeles,27,3
Los Angeles,35,2
Charlotte,35,4
Indianapolis,44,2
Jackson,41,3
Augusta,48,3
Frankfort,28,3
Santa Fe,43,7
Seattle,29,2
Helena,37,2
Cleveland,30,4
Charlotte,30,6
Des Moines,32,5
Trenton,35,4
Jackson,33,3
Lansing,40,3
Helena,35,4
Jefferson City,31,2
Jefferson City,35,2
Des Moines,22,6
Portland,20,3
Cleveland,28,3
Saint Paul,39,2
New York,37,5
Oklahoma City,40,5
Springfield,29,6
Cleveland,47,4
Jefferson City,36,2
Phoenix,26,5
Charleston,32,4
Portland,33,3
Los Angeles,35,2
Annapolis,31,2
Las Vegas,34,3
Annapolis,30,3
Burlington,43,5
Miami,35,3
Jefferson City,29,3
Huntington,27,3
Frankfort,33,3
Indianapolis,35,2
Lincoln,37,3
Charleston,35,3
Concord,32,3
Seattle,32,3
Charlotte,36,5
