Do you get to keep tips?,"Form 1-10, how happy are you with your salary?","From 1-10, how happy are you working at SEBS CAFE?"
Yes,9,7
Yes,3,5
Yes,10,5
Yes,10,6
Yes,2,6
Yes,1,2
Yes,4,5
Yes,6,5
Yes,2,3
Yes,10,3
Yes,9,6
Yes,10,2
Yes,2,3
Yes,6,4
Yes,4,3
Yes,1,3
Yes,6,4
Yes,2,4
Yes,7,4
Yes,10,4
Yes,9,6
Yes,7,6
Yes,7,5
Yes,10,6
Yes,7,3
Yes,1,3
Yes,10,5
Yes,1,4
Yes,2,3
Yes,2,6
Yes,10,7
Yes,0,4
Yes,2,6
Yes,2,4
Yes,2,5
Yes,9,3
Yes,10,4
Yes,10,4
Yes,5,4
Yes,5,4
Yes,7,6
Yes,10,4
Yes,0,2
Yes,8,7
Yes,5,4
Yes,6,4
Yes,0,2
Yes,0,2
Yes,6,4
Yes,9,2
Yes,10,5
Yes,3,4
Yes,2,3
Yes,0,3
Yes,4,4
Yes,2,3
Yes,7,6
Yes,4,3
Yes,0,2
Yes,2,4
Yes,10,6
Yes,7,5
Yes,4,3
Yes,2,4
Yes,2,3
Yes,1,3
Yes,2,2
Yes,0,4
Yes,2,4
Yes,3,3
Yes,4,6
Yes,2,3
Yes,0,5
Yes,3,3
Yes,0,2
Yes,2,5
Yes,10,7
Yes,6,4
Yes,10,5
Yes,10,4
Yes,0,3
Yes,10,6
Yes,6,3
Yes,6,3
Yes,7,5
Yes,0,3
Yes,1,3
Yes,10,6
Yes,2,2
Yes,0,2
Yes,7,3
Yes,4,4
Yes,9,5
Yes,0,6
Yes,5,6
Yes,0,4
Yes,6,5
Yes,3,3
Yes,5,6
Yes,10,7
Yes,9,6
Yes,5,4
Yes,2,3
Yes,6,4
Yes,8,6
Yes,0,5
Yes,5,4
Yes,4,4
Yes,10,6
Yes,1,4
Yes,3,3
Yes,2,6
Yes,5,6
Yes,6,3
Yes,0,4
Yes,10,3
Yes,3,4
Yes,1,3
Yes,6,5
Yes,10,5
Yes,3,3
Yes,5,4
Yes,1,4
Yes,6,3
Yes,10,5
Yes,10,7
Yes,1,4
Yes,9,3
Yes,1,4
Yes,5,6
Yes,9,6
Yes,10,7
Yes,0,4
Yes,7,4
Yes,8,4
Yes,1,3
Yes,2,4
Yes,4,4
Yes,4,4
Yes,2,4
Yes,9,5
Yes,10,4
Yes,0,2
Yes,6,4
Yes,10,3
Yes,0,3
Yes,6,5
Yes,0,3
Yes,5,7
Yes,2,4
Yes,1,3
Yes,7,7
Yes,0,3
Yes,9,2
Yes,5,4
Yes,10,4
Yes,1,6
Yes,1,6
Yes,7,5
Yes,9,5
Yes,1,2
Yes,3,3
Yes,4,4
Yes,10,6
Yes,8,4
Yes,3,6
Yes,3,4
Yes,0,3
Yes,0,5
Yes,6,4
Yes,10,7
Yes,8,4
Yes,3,4
Yes,2,4
Yes,1,3
Yes,5,5
Yes,5,6
Yes,3,3
Yes,10,5
Yes,10,8
Yes,9,5
Yes,0,6
Yes,2,5
Yes,5,3
Yes,8,5
Yes,0,5
Yes,3,3
Yes,6,3
Yes,3,6
Yes,7,3
Yes,3,3
Yes,10,6
Yes,2,2
Yes,2,3
Yes,0,2
Yes,8,5
Yes,10,5
Yes,3,2
Yes,7,5
Yes,1,2
Yes,0,3
Yes,1,3
Yes,3,2
Yes,10,3
Yes,3,5
Yes,1,3
Yes,10,6
Yes,3,4
Yes,0,4
Yes,0,2
Yes,7,4
Yes,1,2
Yes,0,5
Yes,2,3
Yes,5,4
Yes,2,3
Yes,10,4
Yes,2,4
Yes,3,7
Yes,2,4
Yes,10,6
Yes,5,4
Yes,10,5
