1, 2, WinRate, Win, Defeat
10, 14,46.87 ,15502, 17570
28, 63,49.41 ,1384, 1417
22, 49,51.51 ,2135, 2010
14, 41,46.61 ,23711, 27165
27, 62,50.78 ,2342, 2270
7, 44,46.12 ,11776, 13756
9, 34,50.69 ,3798, 3694
12, 21,47.58 ,5801, 6391
9, 44,50.02 ,15132, 15118
23, 69,39.31 ,1131, 1746
1, 14,43.33 ,20360, 26629
9, 42,49.87 ,5607, 5636
31, 44,47.99 ,11803, 12791
5, 17,50.65 ,8955, 8726
11, 25,47.15 ,7037, 7889
8, 14,50.69 ,32042, 31175
12, 17,45.08 ,2587, 3152
2, 9,54.64 ,9526, 7908
9, 21,51.77 ,13293, 12385
1, 33,44.27 ,1959, 2466
4, 26,51.56 ,5126, 4816
5, 8,56.38 ,22589, 17480
2, 8,54.18 ,15486, 13095
34, 47,52.91 ,809, 720
7, 31,48.32 ,6781, 7252
33, 41,45.25 ,2019, 2443
8, 19,51.87 ,18231, 16916
7, 27,48.93 ,5233, 5462
8, 28,53.22 ,13721, 12059
7, 21,48.31 ,12959, 13864
5, 18,53.7 ,12221, 10539
10, 56,55.73 ,3547, 2818
31, 41,47.96 ,12345, 13397
12, 16,45.25 ,1748, 2115
8, 13,49.41 ,7328, 7502
31, 32,55.16 ,3141, 2553
6, 7,56.7 ,10167, 7764
1, 11,43.15 ,10799, 14225
39, 41,44.67 ,12587, 15593
14, 28,48.24 ,11198, 12013
27, 56,58.18 ,3945, 2836
14, 22,52.06 ,16613, 15297
49, 50,48.89 ,1016, 1062
28, 35,47.69 ,3162, 3469
38, 39,51.83 ,1773, 1648
14, 61,60.67 ,4465, 2895
19, 35,44.54 ,3137, 3906
28, 39,46.92 ,6775, 7666
9, 29,54.7 ,5773, 4781
7, 10,48.82 ,11425, 11979
3, 9,54.68 ,4674, 3874
6, 37,60.54 ,5301, 3455
18, 26,47.48 ,15301, 16928
6, 19,56.75 ,12899, 9829
31, 34,50.55 ,3497, 3421
14, 17,46.2 ,13653, 15900
14, 39,45.13 ,14170, 17225
15, 26,47.37 ,1477, 1641
41, 43,48.58 ,1967, 2082
