1, 2, WinRate, Win, Defeat
28, 63,40.7 ,562, 819
14, 41,37.74 ,9501, 15677
7, 44,39.4 ,5052, 7770
12, 21,39.76 ,2428, 3679
23, 69,33.33 ,492, 984
9, 42,42.16 ,2402, 3295
5, 17,43.4 ,3825, 4989
8, 14,41.81 ,12763, 17762
2, 9,47.92 ,4213, 4578
1, 33,36.99 ,846, 1441
5, 8,49.17 ,9677, 10004
34, 47,44.04 ,329, 418
33, 41,36.32 ,838, 1469
7, 27,41.79 ,2223, 3096
7, 21,40.84 ,5613, 8131
10, 56,49.0 ,1540, 1603
12, 16,37.08 ,712, 1208
31, 32,47.93 ,1334, 1449
5, 18,45.86 ,5208, 6148
14, 28,38.92 ,4374, 6863
14, 22,42.82 ,6624, 8846
28, 35,39.39 ,1294, 1991
14, 61,51.2 ,1744, 1662
28, 39,38.79 ,2774, 4378
7, 10,40.91 ,4676, 6755
6, 37,52.79 ,2221, 1986
6, 19,48.93 ,5468, 5707
14, 17,37.05 ,5428, 9224
15, 26,39.02 ,604, 944
41, 43,41.43 ,860, 1216
29, 41,41.2 ,2532, 3613
1, 9,40.77 ,5659, 8222
11, 44,39.14 ,5166, 8033
9, 46,42.74 ,2000, 2679
7, 17,40.74 ,2985, 4342
25, 39,38.62 ,2535, 4029
20, 21,45.55 ,3146, 3761
7, 26,37.01 ,4234, 7206
1, 73,36.11 ,720, 1274
3, 17,44.79 ,1152, 1420
47, 67,43.08 ,2000, 2643
8, 19,44.99 ,7827, 9569
10, 19,39.61 ,3754, 5723
13, 40,40.63 ,800, 1169
39, 93,36.57 ,3409, 5912
21, 73,45.95 ,2182, 2567
21, 27,41.85 ,4031, 5601
6, 11,52.0 ,4704, 4343
11, 19,38.46 ,3686, 5898
8, 84,52.65 ,13577, 12208
2, 8,46.17 ,6507, 7586
6, 21,48.43 ,7421, 7902
21, 26,37.18 ,8143, 13760
2, 17,39.85 ,2735, 4128
4, 18,48.44 ,1665, 1772
18, 45,50.87 ,2657, 2566
60, 64,47.0 ,1875, 2114
11, 68,40.45 ,1880, 2768
8, 60,49.4 ,3780, 3872
5, 6,51.72 ,4694, 4382
17, 54,41.15 ,2438, 3487
17, 41,36.92 ,3680, 6287
22, 37,45.26 ,1946, 2354
1, 13,34.31 ,2000, 3830
18, 25,43.59 ,4849, 6274
31, 39,40.35 ,3189, 4714
37, 38,49.61 ,440, 447
19, 42,41.06 ,1922, 2759
1, 4,45.1 ,1939, 2360
1, 21,39.37 ,8905, 13711
26, 28,38.9 ,4538, 7127
20, 31,45.81 ,624, 738
2, 50,43.28 ,2098, 2750
21, 31,42.09 ,5647, 7771
31, 44,40.77 ,5061, 7353
37, 62,46.75 ,706, 804
3, 41,42.43 ,1828, 2480
1, 83,44.93 ,3390, 4155
80, 86,45.88 ,1203, 1419
19, 36,46.88 ,2389, 2707
22, 62,44.61 ,1747, 2169
19, 39,38.44 ,3740, 5989
40, 41,43.73 ,3197, 4114
14, 44,37.32 ,9471, 15906
23, 68,38.25 ,903, 1458
5, 25,43.48 ,3137, 4078
6, 14,49.43 ,9499, 9719
7, 15,43.6 ,429, 555
19, 21,40.37 ,6101, 9012
28, 54,45.37 ,2513, 3026
34, 36,42.28 ,515, 703
2, 14,38.42 ,4937, 7912
29, 31,45.27 ,2003, 2422
18, 21,44.28 ,8441, 10623
17, 19,39.09 ,3165, 4931
8, 51,48.36 ,5266, 5623
9, 14,40.31 ,4399, 6513
7, 18,42.7 ,4232, 5680
17, 30,41.42 ,3029, 4284
1, 5,40.88 ,5157, 7459
17, 35,37.1 ,562, 953
17, 67,39.74 ,3729, 5654
25, 30,41.45 ,2837, 4007
9, 25,43.77 ,2766, 3553
18, 22,43.61 ,4800, 6206
8, 21,44.84 ,13253, 16306
22, 53,41.44 ,1454, 2055
18, 93,37.23 ,974, 1642
7, 8,45.18 ,7055, 8562
30, 41,39.52 ,5589, 8552
5, 10,42.38 ,3526, 4793
18, 20,46.48 ,1732, 1994
21, 25,40.81 ,5019, 7278
8, 9,48.1 ,8997, 9709
36, 56,53.43 ,1232, 1074
14, 30,39.61 ,5439, 8292
20, 35,45.51 ,861, 1031
7, 22,41.12 ,3353, 4802
16, 30,40.1 ,1902, 2841
4, 25,48.99 ,1556, 1620
31, 43,46.15 ,618, 721
8, 11,42.5 ,6977, 9438
8, 27,46.65 ,5845, 6685
3, 7,44.41 ,905, 1133
9, 20,49.09 ,1856, 1925
1, 26,34.42 ,6562, 12500
13, 29,39.48 ,704, 1079
22, 38,47.39 ,791, 878
9, 39,42.16 ,3863, 5300
43, 44,43.0 ,854, 1132
20, 22,48.6 ,1838, 1944
4, 10,49.41 ,1459, 1494
10, 18,41.44 ,1999, 2825
21, 51,47.28 ,4900, 5463
21, 28,41.73 ,4653, 6496
35, 86,34.09 ,1616, 3124
35, 44,35.21 ,1896, 3489
8, 35,41.5 ,2901, 4089
26, 34,37.09 ,2062, 3498
31, 70,40.28 ,1884, 2793
7, 29,41.57 ,1402, 1971
18, 46,44.52 ,2056, 2562
5, 22,44.6 ,4302, 5343
6, 22,51.19 ,4086, 3896
8, 10,42.15 ,3017, 4140
29, 34,42.98 ,775, 1028
9, 18,47.42 ,5758, 6385
1, 11,36.36 ,4596, 8043
30, 31,39.86 ,904, 1364
6, 20,63.79 ,10797, 6129
21, 22,41.26 ,5515, 7850
10, 39,38.23 ,2342, 3784
12, 22,40.01 ,1371, 2056
41, 42,35.35 ,1032, 1887
1, 14,35.09 ,8250, 15258
11, 14,38.4 ,7138, 11450
8, 22,47.24 ,7993, 8928
48, 88,46.58 ,375, 430
4, 11,44.77 ,1339, 1652
8, 74,45.28 ,11680, 14113
22, 29,44.76 ,2064, 2547
5, 16,42.71 ,2284, 3064
18, 26,39.99 ,6587, 9883
30, 52,45.1 ,797, 970
7, 23,35.85 ,1389, 2486
47, 60,48.83 ,645, 676
22, 25,40.76 ,2815, 4092
44, 47,43.49 ,2476, 3217
10, 21,39.47 ,5153, 7903
13, 28,38.65 ,1115, 1770
8, 36,47.32 ,3780, 4208
4, 5,51.5 ,2175, 2048
33, 43,44.86 ,109, 134
8, 45,48.95 ,3974, 4145
4, 87,48.08 ,1341, 1448
2, 21,42.41 ,4866, 6608
5, 9,46.19 ,4163, 4850
44, 62,41.42 ,2362, 3340
4, 26,43.29 ,2177, 2852
8, 28,45.89 ,5788, 6825
52, 64,45.6 ,757, 903
19, 41,39.92 ,6020, 9059
21, 29,43.86 ,2928, 3748
2, 33,40.15 ,367, 547
7, 14,38.89 ,3503, 5505
18, 87,44.0 ,3906, 4972
36, 41,45.7 ,3128, 3717
6, 10,50.89 ,2507, 2419
26, 27,35.3 ,1175, 2154
22, 67,41.87 ,5919, 8217
41, 71,37.91 ,2599, 4256
5, 41,41.99 ,5876, 8118
14, 47,46.38 ,3561, 4117
8, 80,46.16 ,1208, 1409
11, 16,37.24 ,1879, 3166
19, 26,35.96 ,4714, 8395
11, 38,45.14 ,849, 1032
10, 22,41.87 ,2605, 3617
22, 48,45.42 ,1476, 1774
1, 72,35.25 ,258, 474
41, 52,44.47 ,1416, 1768
5, 39,40.17 ,3753, 5590
18, 85,49.59 ,2760, 2806
7, 30,40.72 ,2820, 4106
16, 17,40.32 ,1693, 2506
14, 20,45.76 ,2859, 3389
10, 12,36.98 ,551, 939
40, 63,43.75 ,476, 612
10, 40,43.33 ,1859, 2431
8, 20,45.04 ,2494, 3043
20, 39,45.13 ,1770, 2152
10, 25,40.38 ,3072, 4536
23, 31,37.77 ,1648, 2715
39, 58,35.29 ,457, 838
11, 12,36.76 ,1284, 2209
11, 18,41.81 ,4507, 6273
14, 31,41.51 ,5257, 7408
5, 7,43.57 ,3702, 4795
14, 100,37.17 ,1816, 3070
19, 44,39.05 ,6162, 9619
18, 31,45.46 ,4425, 5308
22, 31,42.93 ,3178, 4224
19, 38,48.17 ,989, 1064
26, 41,36.68 ,7698, 13290
9, 36,47.2 ,2230, 2495
5, 42,40.39 ,2128, 3140
8, 13,43.05 ,3221, 4261
5, 74,43.1 ,6666, 8799
1, 15,40.99 ,489, 704
39, 54,40.24 ,2685, 3988
25, 26,36.09 ,3682, 6519
14, 26,35.94 ,8143, 14517
31, 63,42.15 ,945, 1297
51, 60,50.17 ,1027, 1020
17, 44,38.01 ,4230, 6898
2, 41,40.14 ,4373, 6521
21, 48,44.99 ,2592, 3169
6, 51,53.7 ,4156, 3584
2, 18,44.57 ,4118, 5122
3, 16,44.0 ,741, 943
2, 12,39.79 ,1167, 1766
12, 25,39.15 ,1400, 2176
8, 17,44.56 ,5961, 7417
14, 21,39.84 ,10647, 16079
5, 44,40.6 ,5688, 8323
6, 7,47.68 ,4196, 4605
64, 86,41.63 ,3089, 4332
39, 90,33.47 ,675, 1342
18, 30,44.14 ,4585, 5802
1, 2,39.16 ,4391, 6822
14, 19,36.32 ,4066, 7129
7, 40,44.46 ,1806, 2256
16, 27,43.69 ,1535, 1978
2, 46,43.87 ,1689, 2161
14, 42,38.09 ,3853, 6263
21, 56,49.08 ,3987, 4136
41, 64,43.26 ,5591, 7334
2, 6,50.41 ,4131, 4064
25, 93,39.73 ,3921, 5948
14, 51,38.19 ,2403, 3890
22, 47,46.33 ,1351, 1565
3, 30,42.69 ,324, 435
9, 19,43.02 ,2948, 3905
21, 41,39.99 ,9378, 14073
44, 74,40.64 ,8721, 12737
1, 7,38.88 ,4738, 7447
21, 40,44.39 ,2978, 3730
22, 30,41.57 ,3474, 4882
6, 26,42.29 ,5067, 6914
1, 18,34.56 ,801, 1517
16, 54,43.48 ,1633, 2123
3, 19,42.17 ,1239, 1699
10, 17,38.35 ,1657, 2664
6, 74,47.12 ,6361, 7139
28, 67,39.44 ,3395, 5212
21, 30,41.95 ,5838, 8079
5, 19,43.54 ,4531, 5876
23, 27,39.99 ,1360, 2041
6, 30,48.18 ,4229, 4549
30, 81,45.6 ,1424, 1699
7, 9,44.12 ,2750, 3483
22, 44,42.85 ,6098, 8134
2, 11,40.99 ,3522, 5070
14, 23,35.32 ,2742, 5022
41, 86,39.07 ,7811, 12180
55, 81,42.49 ,150, 203
1, 40,42.56 ,2940, 3968
14, 36,46.05 ,4155, 4868
7, 54,41.52 ,2671, 3762
25, 86,39.32 ,3355, 5177
44, 49,38.82 ,1209, 1905
44, 45,45.49 ,2888, 3461
22, 45,48.21 ,1453, 1561
16, 44,38.85 ,2844, 4477
5, 13,41.58 ,1751, 2460
21, 44,37.86 ,8988, 14753
11, 37,40.88 ,1849, 2674
8, 68,45.92 ,3512, 4136
23, 44,36.43 ,2391, 4172
5, 21,43.48 ,6676, 8679
10, 45,44.7 ,1557, 1926
35, 42,39.35 ,1081, 1666
14, 49,39.63 ,1487, 2265
22, 26,38.37 ,4995, 8024
