1, 2, WinRate, Win, Defeat
140, 144,55.7 ,9429, 7499
152, 179,59.15 ,1231, 850
157, 192,57.67 ,1388, 1019
139, 164,60.45 ,2199, 1439
139, 174,58.17 ,8808, 6335
131, 144,51.57 ,12110, 11371
161, 174,55.35 ,6742, 5438
141, 155,53.9 ,3969, 3395
142, 147,53.74 ,1500, 1291
139, 151,60.52 ,7684, 5012
134, 156,60.02 ,2949, 1964
132, 138,61.98 ,8979, 5509
137, 161,55.05 ,3861, 3152
138, 149,58.61 ,10404, 7347
138, 158,60.25 ,7933, 5234
135, 148,61.5 ,7013, 4391
161, 171,55.66 ,7011, 5584
138, 143,55.89 ,4107, 3241
136, 137,65.4 ,5971, 3159
131, 141,50.08 ,6203, 6182
169, 171,52.49 ,7227, 6541
157, 186,65.2 ,2245, 1198
179, 180,57.24 ,601, 449
168, 169,59.0 ,1036, 720
149, 165,53.78 ,1878, 1614
139, 159,62.19 ,3319, 2018
133, 139,61.63 ,2658, 1655
148, 156,55.3 ,8714, 7045
161, 164,58.22 ,1959, 1406
144, 169,54.09 ,8597, 7297
132, 139,61.47 ,5313, 3330
147, 155,58.25 ,3375, 2419
141, 168,56.9 ,1146, 868
140, 191,68.38 ,969, 448
131, 153,48.74 ,2967, 3121
132, 140,57.28 ,4377, 3265
138, 139,63.04 ,12003, 7036
136, 150,77.3 ,14191, 4168
136, 147,67.04 ,4475, 2200
141, 158,56.53 ,4704, 3617
174, 181,58.01 ,5514, 3992
142, 160,58.41 ,1983, 1412
132, 141,56.14 ,4951, 3868
144, 160,57.42 ,8329, 6176
131, 160,53.89 ,6205, 5309
138, 161,61.53 ,10796, 6750
182, 200,54.11 ,559, 474
147, 148,58.73 ,5215, 3665
132, 136,67.67 ,5804, 2773
140, 151,55.31 ,7155, 5782
143, 151,53.16 ,2752, 2425
131, 132,53.78 ,5781, 4968
144, 153,54.06 ,4390, 3730
149, 214,60.05 ,6991, 4650
140, 158,55.88 ,3745, 2957
157, 184,55.41 ,2603, 2095
156, 183,49.11 ,2341, 2426
137, 152,58.05 ,4729, 3417
142, 159,56.16 ,884, 690
137, 153,50.67 ,1930, 1879
142, 152,56.23 ,1887, 1469
155, 171,56.87 ,7824, 5934
135, 138,63.33 ,12912, 7476
174, 192,54.82 ,3160, 2604
157, 197,57.23 ,3937, 2942
144, 167,57.9 ,4029, 2930
148, 152,60.12 ,6564, 4355
137, 140,56.37 ,6749, 5224
147, 151,55.85 ,5472, 4325
156, 160,54.3 ,2332, 1963
135, 164,59.59 ,2205, 1495
138, 167,60.78 ,4173, 2693
135, 143,55.43 ,2301, 1850
161, 166,62.23 ,2522, 1531
144, 149,51.47 ,5908, 5570
179, 182,54.64 ,200, 166
204, 208,57.61 ,1029, 757
138, 156,57.67 ,14936, 10963
136, 149,64.32 ,7431, 4122
163, 198,57.7 ,371, 272
144, 176,57.01 ,4931, 3719
131, 151,53.77 ,11353, 9762
138, 152,62.19 ,10444, 6349
136, 139,70.65 ,7832, 3253
144, 171,55.3 ,14210, 11488
155, 173,59.65 ,646, 437
148, 153,54.99 ,2673, 2188
141, 153,46.54 ,1069, 1228
160, 171,55.2 ,7578, 6151
148, 177,63.63 ,3020, 1726
142, 180,57.54 ,962, 710
149, 170,59.98 ,3144, 2098
138, 144,58.97 ,19279, 13413
137, 165,52.21 ,1869, 1711
155, 163,55.51 ,690, 553
131, 133,53.75 ,2162, 1860
134, 155,65.05 ,2098, 1127
139, 141,57.86 ,6012, 4379
132, 167,59.8 ,2379, 1599
144, 148,58.98 ,12069, 8395
148, 204,58.16 ,9938, 7148
146, 161,56.05 ,2625, 2058
132, 133,58.74 ,1488, 1045
151, 158,57.42 ,6269, 4648
132, 142,55.94 ,1738, 1369
132, 161,59.04 ,4737, 3286
131, 149,50.75 ,7227, 7014
132, 212,62.8 ,927, 549
131, 199,47.0 ,2852, 3216
161, 169,54.24 ,4186, 3532
156, 171,51.82 ,10450, 9715
139, 175,65.13 ,2692, 1441
141, 150,59.94 ,2794, 1867
204, 227,53.66 ,6899, 5957
156, 169,50.72 ,6516, 6332
170, 199,56.97 ,1063, 803
150, 158,62.68 ,2361, 1406
144, 172,57.03 ,5894, 4441
137, 178,60.3 ,1967, 1295
136, 153,62.03 ,3087, 1890
141, 156,51.57 ,7504, 7048
148, 213,63.46 ,3942, 2270
171, 204,57.35 ,20206, 15028
142, 144,52.89 ,3558, 3169
132, 160,58.2 ,4855, 3487
151, 197,56.68 ,10728, 8198
148, 216,56.16 ,8450, 6597
144, 156,54.11 ,12448, 10555
152, 160,59.1 ,4858, 3362
155, 198,58.01 ,1927, 1395
132, 170,61.36 ,2060, 1297
131, 135,56.21 ,7044, 5487
135, 158,57.65 ,4657, 3421
164, 174,54.81 ,2637, 2174
131, 143,47.92 ,2612, 2839
136, 157,65.77 ,3631, 1890
161, 215,60.38 ,1509, 990
151, 156,52.94 ,11136, 9901
135, 139,61.84 ,5601, 3456
180, 223,55.74 ,2608, 2071
157, 180,57.17 ,626, 469
144, 183,51.39 ,3485, 3297
136, 141,67.0 ,6535, 3219
182, 197,56.64 ,1510, 1156
139, 148,62.57 ,7682, 4595
136, 140,67.28 ,3675, 1787
138, 155,60.6 ,9743, 6335
131, 137,52.37 ,6154, 5597
131, 139,55.18 ,7407, 6017
142, 151,55.43 ,3373, 2712
139, 157,60.73 ,3869, 2502
157, 223,55.5 ,4266, 3420
136, 167,67.71 ,3080, 1469
132, 151,57.62 ,6519, 4794
141, 171,52.53 ,6977, 6306
138, 157,61.41 ,8099, 5089
148, 161,59.04 ,5606, 3889
131, 214,57.55 ,10197, 7521
133, 141,54.94 ,1707, 1400
131, 134,60.66 ,2509, 1627
135, 160,59.62 ,1432, 970
158, 193,57.89 ,822, 598
185, 197,59.28 ,1035, 711
137, 141,53.14 ,4918, 4337
167, 179,60.55 ,634, 413
170, 174,57.17 ,4164, 3119
138, 147,58.18 ,7766, 5582
144, 159,60.19 ,4362, 2885
135, 136,68.96 ,6537, 2943
131, 220,48.66 ,1252, 1321
132, 156,53.37 ,6718, 5869
135, 142,57.55 ,2137, 1576
135, 168,59.76 ,1234, 831
153, 204,51.12 ,2388, 2283
151, 181,61.74 ,6322, 3917
151, 161,58.14 ,7546, 5433
132, 147,55.1 ,3788, 3087
136, 138,61.83 ,1895, 1170
132, 148,60.12 ,5454, 3618
137, 138,58.46 ,9250, 6573
151, 155,56.82 ,6511, 4947
133, 182,60.42 ,400, 262
136, 152,68.14 ,5590, 2614
136, 148,64.36 ,2012, 1114
155, 170,60.47 ,2246, 1468
144, 175,63.04 ,5030, 2949
139, 147,59.62 ,4927, 3337
196, 223,52.75 ,364, 326
138, 150,59.36 ,3278, 2244
174, 180,56.1 ,3745, 2930
140, 150,61.03 ,2399, 1532
137, 147,54.79 ,4115, 3395
138, 175,65.23 ,5362, 2858
137, 143,48.96 ,1931, 2013
148, 155,59.24 ,6431, 4424
136, 144,67.69 ,14167, 6761
143, 144,52.28 ,3538, 3230
136, 151,65.93 ,10196, 5268
135, 140,59.17 ,5173, 3570
161, 176,60.01 ,2670, 1779
132, 135,58.96 ,5204, 3622
155, 160,56.68 ,3851, 2943
175, 214,68.57 ,4602, 2109
136, 171,59.96 ,2252, 1504
131, 146,54.09 ,3475, 2950
153, 162,56.05 ,792, 621
149, 156,49.83 ,6429, 6474
160, 176,58.2 ,2558, 1837
137, 144,56.06 ,5493, 4305
163, 225,59.7 ,394, 266
140, 194,58.88 ,4066, 2839
141, 152,52.85 ,2179, 1944
151, 153,54.08 ,3429, 2912
151, 175,60.93 ,3593, 2304
131, 158,52.28 ,4923, 4494
167, 197,58.7 ,4941, 3477
138, 140,57.34 ,4208, 3131
135, 144,60.78 ,9915, 6398
137, 175,62.08 ,2511, 1534
139, 152,64.55 ,5844, 3210
157, 159,60.26 ,1988, 1311
152, 171,57.72 ,8460, 6197
172, 204,56.77 ,4781, 3641
160, 204,56.42 ,8168, 6308
177, 178,65.41 ,1057, 559
131, 206,48.39 ,1657, 1767
175, 189,68.18 ,540, 252
146, 151,57.09 ,4110, 3089
151, 152,59.05 ,7495, 5198
131, 161,55.27 ,6290, 5090
140, 177,61.2 ,1659, 1052
135, 155,59.91 ,4377, 2929
169, 183,48.85 ,1443, 1511
160, 200,53.04 ,2376, 2104
171, 233,54.97 ,1227, 1005
152, 174,58.88 ,8312, 5804
139, 192,55.91 ,1306, 1030
193, 205,55.61 ,734, 586
155, 167,60.32 ,2137, 1406
137, 156,51.19 ,5743, 5476
148, 189,64.85 ,1686, 914
149, 155,53.56 ,4043, 3506
142, 153,51.25 ,862, 820
131, 204,52.93 ,10000, 8894
138, 224,53.4 ,1297, 1132
156, 165,51.74 ,3029, 2825
152, 156,55.8 ,6837, 5416
131, 147,50.97 ,5702, 5485
133, 169,53.28 ,1372, 1203
140, 149,54.12 ,5473, 4639
156, 186,61.74 ,4895, 3033
144, 157,57.79 ,6018, 4396
131, 163,52.06 ,1113, 1025
174, 190,57.3 ,3703, 2760
140, 184,55.19 ,1745, 1417
138, 146,60.65 ,5352, 3473
146, 155,57.39 ,3164, 2349
138, 141,56.89 ,9433, 7147
146, 176,58.29 ,1452, 1039
132, 178,62.9 ,2085, 1230
144, 151,58.07 ,15841, 11437
135, 171,57.56 ,8029, 5920
160, 165,54.48 ,2184, 1825
136, 181,69.7 ,5707, 2481
223, 227,53.16 ,4162, 3667
171, 194,57.62 ,7419, 5456
138, 160,59.65 ,9818, 6642
147, 225,57.12 ,1508, 1132
139, 176,59.09 ,2870, 1987
148, 149,56.84 ,6394, 4856
158, 160,58.98 ,4476, 3113
168, 203,62.93 ,421, 248
158, 214,61.06 ,6824, 4352
139, 144,58.71 ,6665, 4688
165, 168,58.17 ,395, 284
138, 151,60.5 ,17823, 11638
159, 171,58.01 ,3594, 2602
142, 155,55.18 ,1938, 1574
183, 197,52.91 ,2365, 2105
141, 149,50.58 ,4920, 4808
138, 194,61.63 ,8410, 5236
147, 159,57.34 ,2122, 1579
158, 167,59.48 ,2268, 1545
144, 146,56.98 ,4434, 3348
187, 197,60.75 ,698, 451
135, 153,54.66 ,2737, 2270
132, 137,53.27 ,2930, 2570
138, 169,58.0 ,9522, 6895
144, 174,55.04 ,14438, 11793
143, 146,52.09 ,1070, 984
138, 192,59.16 ,4132, 2852
156, 174,51.49 ,10306, 9708
137, 139,59.81 ,3688, 2478
144, 155,57.6 ,7877, 5798
178, 189,66.15 ,596, 305
146, 182,59.56 ,654, 444
147, 180,54.52 ,1869, 1559
146, 147,54.76 ,2214, 1829
200, 205,54.76 ,1301, 1075
155, 156,51.52 ,5035, 4737
135, 137,59.54 ,5104, 3469
133, 153,55.29 ,805, 651
166, 171,60.11 ,3971, 2635
148, 175,64.01 ,3443, 1936
131, 178,49.72 ,614, 621
155, 169,54.51 ,3578, 2986
167, 175,64.49 ,1193, 657
149, 152,57.06 ,5197, 3911
131, 176,52.31 ,2702, 2463
147, 156,51.77 ,5903, 5499
144, 164,60.79 ,4500, 2902
143, 170,58.28 ,1116, 799
136, 178,73.91 ,1615, 570
137, 197,55.56 ,5667, 4533
135, 147,57.85 ,5130, 3737
167, 174,57.77 ,3755, 2745
157, 168,62.27 ,916, 555
135, 151,58.87 ,8812, 6157
194, 199,54.1 ,2018, 1712
152, 161,58.5 ,4241, 3009
144, 161,58.73 ,7675, 5394
134, 151,63.66 ,3288, 1877
149, 161,56.77 ,5099, 3883
149, 151,54.88 ,8245, 6780
181, 185,64.53 ,804, 442
147, 149,52.84 ,4302, 3840
158, 174,56.14 ,7503, 5862
151, 172,56.73 ,4937, 3766
169, 172,53.88 ,2727, 2334
143, 155,52.94 ,1511, 1343
131, 162,54.34 ,952, 800
146, 174,54.36 ,3824, 3211
148, 151,59.49 ,10806, 7357
149, 173,57.48 ,830, 614
140, 147,54.34 ,2331, 1959
149, 215,56.98 ,2289, 1728
140, 155,55.15 ,4294, 3492
161, 189,65.63 ,1367, 716
140, 153,51.24 ,1679, 1598
156, 158,54.91 ,6436, 5285
158, 201,55.29 ,1668, 1349
140, 197,57.27 ,2485, 1854
170, 197,61.84 ,3989, 2462
152, 153,52.08 ,1538, 1415
170, 171,59.41 ,4416, 3017
144, 152,60.76 ,9989, 6451
138, 148,59.17 ,2068, 1427
165, 187,56.98 ,302, 228
156, 193,53.11 ,2112, 1865
134, 137,62.26 ,1798, 1090
184, 206,49.24 ,875, 902
174, 175,60.3 ,3837, 2526
133, 136,66.52 ,2062, 1038
135, 173,61.15 ,924, 587
137, 168,60.5 ,925, 604
139, 146,61.13 ,3857, 2453
159, 160,58.55 ,2671, 1891
177, 214,67.56 ,4579, 2199
138, 153,56.93 ,4558, 3449
133, 151,58.19 ,2671, 1919
135, 187,61.29 ,597, 377
161, 183,54.7 ,1529, 1266
150, 166,64.78 ,1350, 734
133, 148,61.8 ,2092, 1293
