1, 2, WinRate, Win, Defeat
140, 144,55.7 ,9429, 7499
28, 63,40.7 ,562, 819
152, 179,59.15 ,1231, 850
14, 41,37.74 ,9501, 15677
157, 192,57.67 ,1388, 1019
7, 44,39.4 ,5052, 7770
139, 164,60.45 ,2199, 1439
12, 21,39.76 ,2428, 3679
139, 174,58.17 ,8808, 6335
23, 69,33.33 ,492, 984
131, 144,51.57 ,12110, 11371
9, 42,42.16 ,2402, 3295
161, 174,55.35 ,6742, 5438
5, 17,43.4 ,3825, 4989
141, 155,53.9 ,3969, 3395
8, 14,41.81 ,12763, 17762
142, 147,53.74 ,1500, 1291
2, 9,47.92 ,4213, 4578
139, 151,60.52 ,7684, 5012
1, 33,36.99 ,846, 1441
134, 156,60.02 ,2949, 1964
5, 8,49.17 ,9677, 10004
132, 138,61.98 ,8979, 5509
34, 47,44.04 ,329, 418
137, 161,55.05 ,3861, 3152
33, 41,36.32 ,838, 1469
138, 149,58.61 ,10404, 7347
7, 27,41.79 ,2223, 3096
138, 158,60.25 ,7933, 5234
7, 21,40.84 ,5613, 8131
135, 148,61.5 ,7013, 4391
10, 56,49.0 ,1540, 1603
161, 171,55.66 ,7011, 5584
12, 16,37.08 ,712, 1208
138, 143,55.89 ,4107, 3241
31, 32,47.93 ,1334, 1449
136, 137,65.4 ,5971, 3159
131, 141,50.08 ,6203, 6182
5, 18,45.86 ,5208, 6148
169, 171,52.49 ,7227, 6541
14, 28,38.92 ,4374, 6863
157, 186,65.2 ,2245, 1198
14, 22,42.82 ,6624, 8846
179, 180,57.24 ,601, 449
28, 35,39.39 ,1294, 1991
168, 169,59.0 ,1036, 720
14, 61,51.2 ,1744, 1662
149, 165,53.78 ,1878, 1614
28, 39,38.79 ,2774, 4378
139, 159,62.19 ,3319, 2018
7, 10,40.91 ,4676, 6755
133, 139,61.63 ,2658, 1655
6, 37,52.79 ,2221, 1986
148, 156,55.3 ,8714, 7045
6, 19,48.93 ,5468, 5707
161, 164,58.22 ,1959, 1406
14, 17,37.05 ,5428, 9224
144, 169,54.09 ,8597, 7297
15, 26,39.02 ,604, 944
132, 139,61.47 ,5313, 3330
41, 43,41.43 ,860, 1216
147, 155,58.25 ,3375, 2419
29, 41,41.2 ,2532, 3613
141, 168,56.9 ,1146, 868
140, 191,68.38 ,969, 448
1, 9,40.77 ,5659, 8222
131, 153,48.74 ,2967, 3121
11, 44,39.14 ,5166, 8033
132, 140,57.28 ,4377, 3265
9, 46,42.74 ,2000, 2679
138, 139,63.04 ,12003, 7036
7, 17,40.74 ,2985, 4342
136, 150,77.3 ,14191, 4168
25, 39,38.62 ,2535, 4029
136, 147,67.04 ,4475, 2200
20, 21,45.55 ,3146, 3761
141, 158,56.53 ,4704, 3617
7, 26,37.01 ,4234, 7206
174, 181,58.01 ,5514, 3992
1, 73,36.11 ,720, 1274
142, 160,58.41 ,1983, 1412
3, 17,44.79 ,1152, 1420
132, 141,56.14 ,4951, 3868
47, 67,43.08 ,2000, 2643
144, 160,57.42 ,8329, 6176
8, 19,44.99 ,7827, 9569
131, 160,53.89 ,6205, 5309
10, 19,39.61 ,3754, 5723
138, 161,61.53 ,10796, 6750
13, 40,40.63 ,800, 1169
182, 200,54.11 ,559, 474
39, 93,36.57 ,3409, 5912
147, 148,58.73 ,5215, 3665
21, 73,45.95 ,2182, 2567
132, 136,67.67 ,5804, 2773
21, 27,41.85 ,4031, 5601
140, 151,55.31 ,7155, 5782
6, 11,52.0 ,4704, 4343
143, 151,53.16 ,2752, 2425
11, 19,38.46 ,3686, 5898
131, 132,53.78 ,5781, 4968
8, 84,52.65 ,13577, 12208
144, 153,54.06 ,4390, 3730
2, 8,46.17 ,6507, 7586
149, 214,60.05 ,6991, 4650
6, 21,48.43 ,7421, 7902
140, 158,55.88 ,3745, 2957
21, 26,37.18 ,8143, 13760
157, 184,55.41 ,2603, 2095
2, 17,39.85 ,2735, 4128
156, 183,49.11 ,2341, 2426
4, 18,48.44 ,1665, 1772
137, 152,58.05 ,4729, 3417
18, 45,50.87 ,2657, 2566
142, 159,56.16 ,884, 690
60, 64,47.0 ,1875, 2114
11, 68,40.45 ,1880, 2768
137, 153,50.67 ,1930, 1879
8, 60,49.4 ,3780, 3872
142, 152,56.23 ,1887, 1469
5, 6,51.72 ,4694, 4382
155, 171,56.87 ,7824, 5934
17, 54,41.15 ,2438, 3487
135, 138,63.33 ,12912, 7476
17, 41,36.92 ,3680, 6287
174, 192,54.82 ,3160, 2604
22, 37,45.26 ,1946, 2354
157, 197,57.23 ,3937, 2942
1, 13,34.31 ,2000, 3830
144, 167,57.9 ,4029, 2930
18, 25,43.59 ,4849, 6274
31, 39,40.35 ,3189, 4714
148, 152,60.12 ,6564, 4355
37, 38,49.61 ,440, 447
137, 140,56.37 ,6749, 5224
19, 42,41.06 ,1922, 2759
147, 151,55.85 ,5472, 4325
156, 160,54.3 ,2332, 1963
1, 4,45.1 ,1939, 2360
135, 164,59.59 ,2205, 1495
1, 21,39.37 ,8905, 13711
138, 167,60.78 ,4173, 2693
